source_index,source_excel_row,calculator_key,catalog_id,canonical_name,catalog_url,source_label,source_disease,study,cutoff,catalog_purpose,sampling_design,data_source,provenance,confidence,confidence_group,evidence_group,exact_outcome_note,N,tp,fp,fn,tn,n_positive,positive_fraction,observed_prevalence,post_positive_risk,post_positive_risk_lo,post_positive_risk_hi,highest_rulein_threshold_supported
97,99,mdcalc:10604,10604,CRB-65 Score for Pneumonia Severity,https://www.mdcalc.com/calc/10604/crb-65-score-for-pneumonia-severity-crb-65,CRB-65 Score for Pneumonia Severity,30-day mortality in community-acquired pneumonia,"Pflug et al., 2014",CRB-65 ≥1,Algorithm,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,553,56,410,3,84,466,0.842676311,0.1066907776,0.1201716738,0.0937119262,0.1528424309,0.05
98,100,mdcalc:2144,2144,Critical Care Pain Observation Tool (CPOT),https://www.mdcalc.com/calc/2144/critical-care-pain-observation-tool-cpot,Critical Care Pain Observation Tool (CPOT),"Anxiety, Delirium, Dementia","Gélinas et al., Sensitivity and specificity of the CPOT for detection of pain in intubated adults after cardiac surgery. 2009.",CPOT >2 (equivalent to ≥3),"Diagnosis, Treatment",Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,97,68,4,11,14,72,0.7422680412,0.8144329897,0.9444444444,0.8656798403,0.978185784,0.2
99,101,mdcalc:1784,1784,CRUSADE Score for Post-MI Bleeding Risk,https://www.mdcalc.com/calc/1784/crusade-score-post-mi-bleeding-risk,CRUSADE Score for Post-MI Bleeding Risk,In-hospital major bleeding during acute coronary syndrome,"Correia et al., 2015",CRUSADE >31,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,519,28,330,3,158,358,0.6897880539,0.05973025048,0.0782122905,0.05466440589,0.1107159212,0.05
100,102,mdcalc:10300,10300,CSHA Clinical Frailty Scale (CFS),https://www.mdcalc.com/calc/10300/csha-clinical-frailty-scale-cfs,CSHA Clinical Frailty Scale (CFS),Frailty in community-dwelling older adults,"Sukkriang & Punsawad, 2020",CFS ≥5,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,214,14,3,11,186,17,0.07943925234,0.1168224299,0.8235294118,0.5897054143,0.9380887336,0.2
101,103,mdcalc:324,324,CURB-65 Score for Pneumonia Severity,https://www.mdcalc.com/calc/324/curb-65-score-pneumonia-severity,CURB-65 Score for Pneumonia Severity,30-day mortality in community-acquired pneumonia,"Pflug et al., 2014",CURB-65 ≥2,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,553,50,292,9,202,342,0.6184448463,0.1066907776,0.1461988304,0.1126861654,0.1875712391,0.1
102,104,mdcalc:10428,10428,Current Opioid Misuse Measure (COMM),https://www.mdcalc.com/calc/10428/current-opioid-misuse-measure-comm,Current Opioid Misuse Measure (COMM),Current aberrant opioid-related behavior,"Butler et al., 2010",COMM ≥9,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,226,52,44,21,109,96,0.4247787611,0.3230088496,0.5416666667,0.4423155292,0.6378115052,0.2
103,105,mdcalc:10098,10098,Danger Assessment Tool for Domestic Abuse,https://www.mdcalc.com/calc/10098/danger-assessment-tool-domestic-abuse,Danger Assessment Tool for Domestic Abuse,Intimate partner femicide or attempted femicide,"Campbell et al., 2009",≥14 points (severe or extreme danger),Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,499,123,47,33,296,170,0.3406813627,0.3126252505,0.7235294118,0.6519216952,0.7852582532,0.2
104,106,mdcalc:4018,4018,DECAF Score for Acute Exacerbation of COPD,https://www.mdcalc.com/calc/4018/decaf-score-acute-exacerbation-copd,DECAF Score for Acute Exacerbation of COPD,In-hospital mortality in acute exacerbation of COPD,"Echevarria et al., 2016",≥3 points,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1725,97,356,35,1237,453,0.2626086957,0.07652173913,0.2141280353,0.1788386622,0.2542250517,0.1
105,107,mdcalc:10592,10592,Dehydration: Assessing Kids Accurately (DHAKA) Score,https://www.mdcalc.com/calc/10592/dehydration-assessing-kids-accurately-dhaka-score,Dehydration: Assessing Kids Accurately (DHAKA) Score,Severe dehydration in children with acute diarrhea,"Levine et al., 2016",≥4 points,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,496,60,196,10,230,256,0.5161290323,0.1411290323,0.234375,0.1866465082,0.2899574155,0.1
106,108,mdcalc:10046,10046,Denver HIV Risk Score,https://www.mdcalc.com/calc/10046/denver-hiv-risk-score,Denver HIV Risk Score,Newly diagnosed HIV infection,"Haukoos et al., 2015",≥30 points,"Diagnosis, Prognosis",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,4830941,27056,3058784,3024,1742077,3085840,0.6387658222,0.006226530194,0.008767790942,0.008664386155,0.008872418764,0.005
107,109,mdcalc:10526,10526,Drug Abuse Screening Test-10 (DAST-10),https://www.mdcalc.com/calc/10526/drug-abuse-screening-test-10-dast-10,Drug Abuse Screening Test-10 (DAST-10),Drug use disorder,"Evren et al., 2013",≥4 points,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,258,219,3,4,32,222,0.8604651163,0.8643410853,0.9864864865,0.961029418,0.9953937344,0.2
108,110,mdcalc:4050,4050,Drug Resistance in Pneumonia (DRIP) Score,https://www.mdcalc.com/calc/4050/drug-resistance-pneumonia-drip-score,Drug Resistance in Pneumonia (DRIP) Score,Community-acquired pneumonia caused by a drug-resistant pathogen,"Fadrian et al., 2021",≥4 points,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,254,73,11,30,140,84,0.3307086614,0.405511811,0.869047619,0.7805392708,0.9252777868,0.2
109,111,mdcalc:1731,1731,Duke Criteria for Infective Endocarditis,https://www.mdcalc.com/calc/1731/duke-criteria-infective-endocarditis,Duke Criteria for Infective Endocarditis,Infective endocarditis,"van der Vaart et al., 2024",Definite IE = positive; possible/rejected IE = negative,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,595,299,10,100,186,309,0.5193277311,0.6705882353,0.9676375405,0.9414624933,0.9823281101,0.2
110,112,mdcalc:3818,3818,Dutch Criteria for Familial Hypercholesterolemia (FH),https://www.mdcalc.com/calc/3818/dutch-criteria-familial-hypercholesterolemia-fh,Dutch Criteria for Familial Hypercholesterolemia (FH),Genetically confirmed familial hypercholesterolemia,"Performance of LDL-C Only Compared With the Dutch Lipid Clinic Network Score, 2025","DLCN score ≥6; calculated before genetic results, with a pathogenic FH variant as the reference standard",Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,426,50,53,43,280,103,0.2417840376,0.2183098592,0.4854368932,0.3911905832,0.5807304291,0.2
111,113,mdcalc:10553,10553,Dutch-English LEMS Tumor Association Prediction (DELTA-P) Score,https://www.mdcalc.com/calc/10553/dutch-english-lems-tumor-association-prediction-delta-p-score,Dutch-English LEMS Tumor Association Prediction (DELTA-P) Score,Small-cell lung cancer in Lambert-Eaton myasthenic syndrome,"Maddison et al., 2020",DELTA-P ≥3 (high tumor risk),Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,87,32,11,12,32,43,0.4942528736,0.5057471264,0.7441860465,0.597615965,0.8507048288,0.2
112,114,mdcalc:10171,10171,ED-SAFE Patient Safety Screener 3 (PSS-3),https://www.mdcalc.com/calc/10171/patient-safety-screener-3-pss-3,ED-SAFE Patient Safety Screener 3 (PSS-3),Suicide risk,"Boudreaux et al., 2015",Positive active suicidal ideation and/or lifetime suicide attempt; BSSI reference standard,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,492,76,6,0,410,82,0.1666666667,0.1544715447,0.9268292683,0.8494215619,0.9660352227,0.2
113,115,mdcalc:10466,10466,Edinburgh Postnatal Depression Scale,https://www.mdcalc.com/calc/10466/edinburgh-postnatal-depression-scale-epds,Edinburgh Postnatal Depression Scale (EPDS),Major or minor postnatal depression,"Cox et al., 1987",EPDS ≥13 (12/13 cutoff); Research Diagnostic Criteria interview reference,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,84,30,11,5,38,41,0.4880952381,0.4166666667,0.7317073171,0.5806646689,0.8430503595,0.2
114,116,mdcalc:3948,3948,EGSYS Syncope Score,https://www.mdcalc.com/calc/3948/egsys-evaluation-guidelines-syncope-study-score-syncope,EGSYS (Evaluation of Guidelines in SYncope Study) Score for Syncope,"Acute Coronary Syndrome, Atrial Fibrillation, Stroke / Transient Ischemic Attack (TIA)","Del Rosso et al., Clinical predictors of cardiac syncope at initial evaluation: the EGSYS score. Heart, 2008.",EGSYS >3,"Diagnosis, Prognosis",Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,256,24,71,2,159,95,0.37109375,0.1015625,0.2526315789,0.1760454198,0.348445613,0.1
115,117,mdcalc:10149,10149,El-Ganzouri Risk Index,https://www.mdcalc.com/calc/10149/el-ganzouri-risk-index-egri-difficult-airway,El-Ganzouri Risk Index (EGRI) for Difficult Airway,Difficult laryngoscopy (Cormack–Lehane III–IV),"Corrente et al., 2020",EGRI ≥4,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,240,23,35,25,157,58,0.2416666667,0.2,0.3965517241,0.2808875779,0.5250678405,0.2
116,118,mdcalc:1858,1858,EDACS,https://www.mdcalc.com/calc/1858/emergency-department-assessment-chest-pain-score-edacs,Emergency Department Assessment of Chest Pain Score (EDACS),30-day major adverse cardiac events (MACE),"Stopyra et al., 2015","High risk: EDACS ≥16, ischemic ECG, or positive serial troponin; low risk requires EDACS <16, nonischemic ECG, and negative 0- and 2-hour troponins",Rule Out,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,282,15,79,2,186,94,0.3333333333,0.06028368794,0.1595744681,0.09915613689,0.2467244257,0.05
117,119,mdcalc:1755,1755,Emergency Heart Failure Mortality Risk Grade (EHMRG),https://www.mdcalc.com/calc/1755/emergency-heart-failure-mortality-risk-grade-ehmrg,Emergency Heart Failure Mortality Risk Grade (EHMRG),Seven-day all-cause mortality in acute heart failure,"Sepehrvand et al., 2019",EHMRG ≥18.0 (risk category 4 or higher),Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,6708,323,4354,24,2007,4677,0.6972271914,0.05172927847,0.06906136412,0.0621426152,0.07668743588,0.05
118,120,mdcalc:10612,10612,Eosinophilic Esophagitis Endoscopic Reference Score (EREFS),https://www.mdcalc.com/calc/10612/eosinophilic-esophagitis-endoscopic-reference-score-erefs,Eosinophilic Esophagitis Endoscopic Reference Score (EREFS),Biopsy-confirmed eosinophilic esophagitis,"Park et al., 2024",EREFS ≥2,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,204,81,14,21,88,95,0.4656862745,0.5,0.8526315789,0.7677140151,0.9101391935,0.2
119,121,mdcalc:10015,10015,EPIPHANY Index for Pulmonary Embolism (PE) in Cancer,https://www.mdcalc.com/calc/10015/epiphany-index-pulmonary-embolism-pe-cancer,EPIPHANY Index for Pulmonary Embolism (PE) in Cancer,Serious complication within 15 days of cancer-associated PE,"Sánchez-Cánovas et al., 2023",High-risk EPIPHANY classification versus low/intermediate risk,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,900,90,349,17,444,439,0.4877777778,0.1188888889,0.2050113895,0.1698828351,0.2452577421,0.1
120,122,mdcalc:10179,10179,European System for Cardiac Operative Risk Evaluation (EuroSCORE) II,https://www.mdcalc.com/calc/10179/european-system-cardiac-operative-risk-evaluation-euroscore-ii,European System for Cardiac Operative Risk Evaluation (EuroSCORE) II,Operative mortality following cardiac surgery,"Ranjan et al., 2019",EuroSCORE II predicted mortality ≥10%,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,865,19,72,13,761,91,0.1052023121,0.03699421965,0.2087912088,0.1379408067,0.3032318549,0.1
121,123,mdcalc:3906,3906,EUTOS Score,https://www.mdcalc.com/calc/3906/eutos-score-chronic-myelogenous-leukemia-cml,EUTOS Score for Chronic Myelogenous Leukemia (CML),Failure to achieve complete cytogenetic response at 6 months,"Delgado et al., 2021",EUTOS >87 (high risk),Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,133,22,20,25,66,42,0.3157894737,0.3533834586,0.5238095238,0.3772246413,0.6664039877,0.2
122,124,mdcalc:10175,10175,EVendo Score for Esophageal Varices,https://www.mdcalc.com/calc/10175/evendo-score-esophageal-varices,EVendo Score for Esophageal Varices,Gastroesophageal varices needing treatment,"Alswat et al., 2022",EVendo >3.90 predicts VNT; ≤3.90 rules out VNT,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,103,10,60,2,31,70,0.6796116505,0.1165048544,0.1428571429,0.07948941717,0.2433841988,0.05
123,125,mdcalc:10629,10629,FACE DROPS,https://www.mdcalc.com/calc/10629/face-drops,FACE DROPS,Lyme disease–associated facial palsy,"McEntire et al., 2025",FACE DROPS ≥5 predicts Lyme disease–associated facial palsy,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,285,62,5,14,204,67,0.2350877193,0.2666666667,0.9253731343,0.8369096321,0.9677039508,0.2
124,126,mdcalc:10001,10001,Fatty Liver Index,https://www.mdcalc.com/calc/10001/fatty-liver-index,Fatty Liver Index,Nonalcoholic fatty liver disease,"Niknejad et al., 2024",FLI ≥40.6,"Diagnosis, Prognosis",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,367,142,57,52,116,199,0.5422343324,0.5286103542,0.7135678392,0.6471764608,0.7718700225,0.2
125,127,mdcalc:4024,4024,Fetal Biophysical Profile (BPP) Score,https://www.mdcalc.com/calc/4024/fetal-biophysical-profile-bpp-score,Fetal Biophysical Profile (BPP) Score,Antepartum fetal acidemia,"Manning et al., 1993",BPP ≤6 predicting umbilical venous pH <7.25,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,493,36,52,0,405,88,0.1784989858,0.07302231237,0.4090909091,0.312267592,0.5135191474,0.2
126,128,mdcalc:3316,3316,FeverPAIN Score for Strep Pharyngitis,https://www.mdcalc.com/calc/3316/feverpain-score-strep-pharyngitis,FeverPAIN Score for Strep Pharyngitis,"Group A, C, or G streptococcal pharyngitis","Seeley et al., 2021",FeverPAIN ≥4,"Diagnosis, Rule Out, Treatment",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,502,3,8,78,413,11,0.0219123506,0.1613545817,0.2727272727,0.0974605929,0.5656453012,0.05
127,129,mdcalc:2200,2200,FIB-4 Index,https://www.mdcalc.com/calc/2200/fibrosis-4-fib-4-index-liver-fibrosis,Fibrosis-4 (FIB-4) Index for Liver Fibrosis,Significant liver fibrosis in chronic hepatitis B (METAVIR F2–F4),"Koksal et al., 2017",FIB-4 >3.25,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,201,12,0,61,128,12,0.05970149254,0.3631840796,1,0.7575059933,1,0.2
128,130,mdcalc:10508,10508,Fibrotic NASH Index (FNI),https://www.mdcalc.com/calc/10508/fibrotic-nash-index-fni,Fibrotic NASH Index (FNI),Biopsy-confirmed fibrotic NASH (NAS ≥4 and fibrosis ≥F2),"Tavaglione et al., 2023",FNI ≥0.33,Rule Out,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,264,28,21,26,189,49,0.1856060606,0.2045454545,0.5714285714,0.4327049309,0.6997668092,0.2
129,131,mdcalc:10633,10633,Field Assessment Stroke Triage for Emergency Destination (FAST-ED),https://www.mdcalc.com/calc/10633/field-assessment-stroke-triage-emergency-destination-fast-ed,Field Assessment Stroke Triage for Emergency Destination (FAST-ED),Large-vessel occlusion stroke,"Carbonera et al., 2022",FAST-ED ≥4,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,74,24,23,6,21,47,0.6351351351,0.4054054054,0.5106382979,0.3724245375,0.6472444497,0.2
130,132,mdcalc:4000,4000,FINDRISC (Finnish Diabetes Risk Score),https://www.mdcalc.com/calc/4000/findrisc-finnish-diabetes-risk-score,FINDRISC (Finnish Diabetes Risk Score),Undiagnosed type 2 diabetes mellitus,"Abdallah et al., 2020",FINDRISC ≥12,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,397,25,142,5,225,167,0.4206549118,0.07556675063,0.1497005988,0.103501104,0.2116534211,0.1
131,133,mdcalc:4037,4037,FAST,https://www.mdcalc.com/calc/4037/focused-assessment-sonography-trauma-fast,Focused Assessment with Sonography for Trauma (FAST),Trauma,"Dammers D, El Moumni M, Hoogland II, Veeger N, ter Avest E. “Should we perform a FAST exam in haemodynamically stable patients presenting after blunt abdominal injury: a retrospective cohort study.” Scand J Trauma Resusc Emerg Med. 2017;25:1. doi:10.1186/s13049-016-0342-0",Positive FAST,Diagnosis,Cohort/consecutive,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,421,12,2,6,401,14,0.03325415677,0.04275534442,0.8571428571,0.600586205,0.9599060787,0.2
132,134,mdcalc:10028,10028,FOUR (Full Outline of UnResponsiveness) Score,https://www.mdcalc.com/calc/10028/four-full-outline-unresponsiveness-score,FOUR (Full Outline of UnResponsiveness) Score,7-day survival among ICU patients with decreased consciousness,"Silvitasari et al., 2017",FOUR ≥6 predicting 7-day survival,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,74,31,7,5,31,38,0.5135135135,0.4864864865,0.8157894737,0.6658114193,0.9077823481,0.2
133,135,mdcalc:62,62,Fractional Excretion of Urea (FEUrea),https://www.mdcalc.com/calc/62/fractional-excretion-urea-feurea,Fractional Excretion of Urea (FEUrea),Prerenal azotemia versus acute tubular necrosis in acute renal failure,"Carvounis et al., 2002",FEUrea ≤35% indicates prerenal azotemia,"Diagnosis, Formula",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,102,69,1,8,24,70,0.6862745098,0.7549019608,0.9857142857,0.9234181287,0.9974737535,0.2
134,136,mdcalc:3800,3800,Framingham Heart Failure Diagnostic Criteria,https://www.mdcalc.com/calc/3800/framingham-heart-failure-diagnostic-criteria,Framingham Heart Failure Diagnostic Criteria,Systolic or diastolic heart failure,"Maestre et al., 2009",≥2 major criteria or 1 major plus ≥2 minor criteria,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,216,151,11,13,41,162,0.75,0.7592592593,0.9320987654,0.8825145336,0.9616652089,0.2
135,137,mdcalc:10426,10426,G8 Geriatric Screening Tool,https://www.mdcalc.com/calc/10426/g8-geriatric-screening-tool,G8 Geriatric Screening Tool,Geriatric vulnerability defined by impaired multidimensional geriatric assessment in older adults with cancer,"Soubeyran et al., 2014—ONCODAGE",G8 ≤14,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1435,880,101,271,183,981,0.6836236934,0.8020905923,0.8970438328,0.8764519739,0.9145382845,0.2
136,138,mdcalc:1727,1727,GAD-7,https://www.mdcalc.com/calc/1727/gad7-general-anxiety-disorder7,GAD-7 (General Anxiety Disorder-7),"Anxiety, Depression/Suicidality","Spitzer et al., A brief measure for assessing generalized anxiety disorder: the GAD-7. Arch Intern Med, 2006.",GAD-7 ≥10,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,965,65,161,8,731,226,0.2341968912,0.07564766839,0.2876106195,0.2325340704,0.349786715,0.2
137,139,mdcalc:3647,3647,Gail Model for Breast Cancer Risk,https://www.mdcalc.com/calc/3647/gail-model-breast-cancer-risk,Gail Model for Breast Cancer Risk,Invasive breast cancer within 5 years,"Buron et al., 2013",Five-year Gail risk ≥1.67%,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1662,24,449,28,1161,473,0.2845968712,0.03128760529,0.05073995772,0.03433118741,0.0743872511,0.02
138,140,mdcalc:10094,10094,GALAD Model,https://www.mdcalc.com/calc/10094/galad-model-hepatocellular-carcinoma-hcc,GALAD Model for Hepatocellular Carcinoma (HCC),Hepatocellular carcinoma in patients with nonalcoholic steatohepatitis,"Best et al., 2020",GALAD ≥−0.63,"Formula, Diagnosis",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,356,108,11,17,220,119,0.3342696629,0.3511235955,0.9075630252,0.8420362633,0.9475994259,0.2
139,141,mdcalc:10140,10140,GCS-Pupils Score,https://www.mdcalc.com/calc/10140/gcs-pupils-score,GCS-Pupils Score,In-hospital mortality after severe traumatic brain injury,"Barea-Mendoza et al., 2023",GCS-P ≤2,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1551,297,92,295,867,389,0.2508059317,0.3816892328,0.763496144,0.718820011,0.8030190042,0.2
140,142,mdcalc:10073,10073,Geneva VTE Prophylaxis Risk Score,https://www.mdcalc.com/calc/10073/geneva-risk-score-venous-thromboembolism-vte-prophylaxis,Geneva Risk Score for VTE Prophylaxis,Symptomatic venous thromboembolism within 90 days,"Häfliger et al., 2024",Original Geneva score ≥3,"Prognosis, Treatment",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1352,23,870,5,454,893,0.6605029586,0.02071005917,0.02575587906,0.01722286309,0.03835157354,0.01
141,143,mdcalc:1750,1750,Geneva Score (Revised) for Pulmonary Embolism,https://www.mdcalc.com/calc/1750/geneva-score-revised-pulmonary-embolism,Geneva Score (Revised) for Pulmonary Embolism,Pulmonary embolism,"Abolfotouh et al., 2020",Revised Geneva score ≥5,"Diagnosis, Rule Out",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,2010,332,642,0,1036,974,0.4845771144,0.1651741294,0.340862423,0.3117717845,0.3712034083,0.2
142,144,mdcalc:10566,10566,Geriatric Depression Scale (GDS-15),https://www.mdcalc.com/calc/10566/geriatric-depression-scale-gds-15,Geriatric Depression Scale (GDS-15),DSM-IV depressive disorder in patients with Parkinson disease,"Weintraub et al., 2006",GDS-15 ≥5,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,148,28,18,4,98,46,0.3108108108,0.2162162162,0.6086956522,0.4645684323,0.7360677496,0.2
143,145,mdcalc:680,680,Glasgow Alcoholic Hepatitis Score,https://www.mdcalc.com/calc/680/glasgow-alcoholic-hepatitis-score,Glasgow Alcoholic Hepatitis Score,28-day mortality in alcoholic hepatitis,"Minz et al., 2018",GAHS >9,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,76,30,8,6,32,38,0.5,0.4736842105,0.7894736842,0.6365422052,0.8892520816,0.2
144,146,mdcalc:64,64,Glasgow Coma Scale (GCS),https://www.mdcalc.com/calc/64/glasgow-coma-scale-score-gcs,Glasgow Coma Scale (GCS),In-hospital mortality after severe traumatic brain injury,"Barea-Mendoza et al., 2023",GCS ≤4,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1551,423,365,169,594,788,0.5080593166,0.3816892328,0.5368020305,0.5018918674,0.5713551183,0.2
145,147,mdcalc:518,518,Glasgow-Blatchford Bleeding Score (GBS),https://www.mdcalc.com/calc/518/glasgow-blatchford-bleeding-score-gbs,Glasgow-Blatchford Bleeding Score (GBS),Hospital-based intervention or death within 30 days after upper GI bleeding,"Stanley et al., 2017",GBS >1 (low risk defined as ≤1),"Prognosis, Treatment",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,2932,1338,1030,19,545,2368,0.8076398363,0.4628240109,0.5650337838,0.5449769207,0.5848799881,0.2
146,148,mdcalc:3287,3287,Glasgow-Imrie Criteria for Severity of Acute Pancreatitis,https://www.mdcalc.com/calc/3287/glasgow-imrie-criteria-severity-acute-pancreatitis,Glasgow-Imrie Criteria for Severity of Acute Pancreatitis,"Poor acute-pancreatitis outcome requiring ventilation, intervention, or resulting in death","Mohsin, 2013",Glasgow-Imrie score >3,"Algorithm, Prognosis",Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,156,15,28,2,111,43,0.2756410256,0.108974359,0.3488372093,0.2241859,0.4982821801,0.2
147,149,mdcalc:10033,10033,GO-FAR (Good Outcome Following Attempted Resuscitation) Score,https://www.mdcalc.com/calc/10033/go-far-good-outcome-following-attempted-resuscitation-score,GO-FAR (Good Outcome Following Attempted Resuscitation) Score,Adverse neurological outcome after in-hospital cardiac arrest,"Alamuti et al., 2024—five-year, three-center external validation",GO-FAR >5.5 (integer score ≥6 predicts adverse outcome),Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1100,1027,6,31,36,1033,0.9390909091,0.9618181818,0.9941916747,0.9873860718,0.9973353543,0.2
148,150,mdcalc:1099,1099,GRACE ACS Risk and Mortality Calculator,https://www.mdcalc.com/calc/1099/grace-acs-risk-mortality-calculator,GRACE ACS Risk and Mortality Calculator,Six-month post-discharge mortality following acute coronary syndrome,"Neves et al., 2022—prospective external validation",GRACE score >119.5 (integer score ≥120),Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,158,8,27,3,120,35,0.2215189873,0.06962025316,0.2285714286,0.1206587983,0.3901731689,0.1
